"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Info"
"13","0.000000","127.0.0.1","127.0.0.1","TCP","137","0.000072000","59021  >  9080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=81 TSval=1440259427 TSecr=1440259427"
"25","0.000539","127.0.0.1","127.0.0.1","TCP","138","0.000101000","59023  >  9081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=82 TSval=1440259428 TSecr=1440259428"
"41","4.034742","127.0.0.1","127.0.0.1","TCP","148","0.000206000","59029  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440263454 TSecr=1440263454"
"49","0.000899","127.0.0.1","127.0.0.1","TCP","147","0.000221000","59030  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440263455 TSecr=1440263455 [TCP segment of a reassembled PDU]"
"57","4.015899","127.0.0.1","127.0.0.1","TCP","148","0.000976000","59031  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440267463 TSecr=1440267462"
"69","0.000733","127.0.0.1","127.0.0.1","TCP","151","0.000498000","59032  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440267463 TSecr=1440267463"
"77","0.002011","127.0.0.1","127.0.0.1","TCP","147","0.000724000","59033  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440267465 TSecr=1440267464 [TCP segment of a reassembled PDU]"
"87","0.000425","127.0.0.1","127.0.0.1","TCP","150","0.000207000","59034  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440267465 TSecr=1440267465 [TCP segment of a reassembled PDU]"
"97","5.790800","127.0.0.1","127.0.0.1","TCP","147","0.000112000","59035  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440273244 TSecr=1440273244 [TCP segment of a reassembled PDU]"
"109","0.000388","127.0.0.1","127.0.0.1","TCP","150","0.000164000","59036  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440273244 TSecr=1440273244 [TCP segment of a reassembled PDU]"
"117","0.000247","127.0.0.1","127.0.0.1","TCP","146","0.000051000","59037  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440273244 TSecr=1440273244 [TCP segment of a reassembled PDU]"
"127","0.000619","127.0.0.1","127.0.0.1","TCP","148","0.000103000","59038  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440273245 TSecr=1440273245"
"136","0.000273","127.0.0.1","127.0.0.1","TCP","151","0.000093000","59039  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440273245 TSecr=1440273245"
"145","0.000186","127.0.0.1","127.0.0.1","TCP","145","0.000052000","59040  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440273246 TSecr=1440273245"
"157","7.442387","127.0.0.1","127.0.0.1","TCP","147","0.000070000","59041  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440280675 TSecr=1440280675 [TCP segment of a reassembled PDU]"
"167","0.000638","127.0.0.1","127.0.0.1","TCP","150","0.000119000","59042  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440280675 TSecr=1440280675 [TCP segment of a reassembled PDU]"
"179","0.000397","127.0.0.1","127.0.0.1","TCP","146","0.000169000","59043  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440280676 TSecr=1440280676 [TCP segment of a reassembled PDU]"
"189","0.000539","127.0.0.1","127.0.0.1","TCP","152","0.000346000","59044  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440280676 TSecr=1440280676 [TCP segment of a reassembled PDU]"
"197","0.000487","127.0.0.1","127.0.0.1","TCP","148","0.000088000","59045  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440280677 TSecr=1440280677"
"207","0.000305","127.0.0.1","127.0.0.1","TCP","151","0.000043000","59046  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440280677 TSecr=1440280677"
"217","0.000193","127.0.0.1","127.0.0.1","TCP","145","0.000037000","59047  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440280677 TSecr=1440280677"
"227","0.000241","127.0.0.1","127.0.0.1","TCP","151","0.000050000","59048  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440280677 TSecr=1440280677"
"237","10.362495","127.0.0.1","127.0.0.1","TCP","148","0.000185000","59049  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440291024 TSecr=1440291024"
"249","0.000629","127.0.0.1","127.0.0.1","TCP","151","0.000446000","59050  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440291025 TSecr=1440291024"
"257","0.000316","127.0.0.1","127.0.0.1","TCP","145","0.000089000","59051  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440291025 TSecr=1440291025"
"267","0.000262","127.0.0.1","127.0.0.1","TCP","151","0.000085000","59052  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440291025 TSecr=1440291025"
"277","0.000360","127.0.0.1","127.0.0.1","TCP","160","0.000061000","59053  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440291025 TSecr=1440291025"
"287","0.000396","127.0.0.1","127.0.0.1","TCP","147","0.000058000","59054  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440291026 TSecr=1440291026 [TCP segment of a reassembled PDU]"
"297","0.000198","127.0.0.1","127.0.0.1","TCP","150","0.000068000","59055  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440291026 TSecr=1440291026 [TCP segment of a reassembled PDU]"
"307","0.000295","127.0.0.1","127.0.0.1","TCP","146","0.000058000","59056  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440291026 TSecr=1440291026 [TCP segment of a reassembled PDU]"
"317","0.000209","127.0.0.1","127.0.0.1","TCP","152","0.000040000","59057  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440291027 TSecr=1440291026 [TCP segment of a reassembled PDU]"
"327","0.000217","127.0.0.1","127.0.0.1","TCP","159","0.000035000","59058  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440291027 TSecr=1440291027 [TCP segment of a reassembled PDU]"
"337","10.979308","127.0.0.1","127.0.0.1","TCP","148","0.000068000","59059  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440301990 TSecr=1440301990"
"347","0.000623","127.0.0.1","127.0.0.1","TCP","151","0.000092000","59060  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440301990 TSecr=1440301990"
"357","0.000271","127.0.0.1","127.0.0.1","TCP","145","0.000060000","59061  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440301991 TSecr=1440301991"
"369","0.000524","127.0.0.1","127.0.0.1","TCP","151","0.000356000","59062  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440301991 TSecr=1440301991"
"377","0.000237","127.0.0.1","127.0.0.1","TCP","160","0.000044000","59063  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440301991 TSecr=1440301991"
"387","0.000204","127.0.0.1","127.0.0.1","TCP","158","0.000025000","59064  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440301992 TSecr=1440301992"
"397","0.000395","127.0.0.1","127.0.0.1","TCP","147","0.000058000","59065  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440301992 TSecr=1440301992 [TCP segment of a reassembled PDU]"
"407","0.000212","127.0.0.1","127.0.0.1","TCP","150","0.000055000","59066  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440301992 TSecr=1440301992 [TCP segment of a reassembled PDU]"
"417","0.000227","127.0.0.1","127.0.0.1","TCP","146","0.000062000","59067  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440301992 TSecr=1440301992 [TCP segment of a reassembled PDU]"
"427","0.000179","127.0.0.1","127.0.0.1","TCP","152","0.000034000","59068  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440301993 TSecr=1440301993 [TCP segment of a reassembled PDU]"
"437","0.000170","127.0.0.1","127.0.0.1","TCP","159","0.000037000","59069  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440301993 TSecr=1440301993 [TCP segment of a reassembled PDU]"
"447","0.000264","127.0.0.1","127.0.0.1","TCP","157","0.000078000","59070  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440301993 TSecr=1440301993 [TCP segment of a reassembled PDU]"
"457","4.974314","127.0.0.1","127.0.0.1","TCP","147","0.000072000","59071  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=91 TSval=1440306956 TSecr=1440306956 [TCP segment of a reassembled PDU]"
"467","0.000350","127.0.0.1","127.0.0.1","TCP","150","0.000051000","59072  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440306956 TSecr=1440306956 [TCP segment of a reassembled PDU]"
"479","0.000343","127.0.0.1","127.0.0.1","TCP","146","0.000154000","59073  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440306956 TSecr=1440306956 [TCP segment of a reassembled PDU]"
"487","0.000232","127.0.0.1","127.0.0.1","TCP","152","0.000058000","59074  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440306957 TSecr=1440306957 [TCP segment of a reassembled PDU]"
"496","0.000326","127.0.0.1","127.0.0.1","TCP","159","0.000174000","59075  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440306957 TSecr=1440306957 [TCP segment of a reassembled PDU]"
"507","0.000217","127.0.0.1","127.0.0.1","TCP","157","0.000050000","59076  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440306957 TSecr=1440306957 [TCP segment of a reassembled PDU]"
"517","0.000232","127.0.0.1","127.0.0.1","TCP","150","0.000052000","59077  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440306957 TSecr=1440306957 [TCP segment of a reassembled PDU]"
"529","0.000615","127.0.0.1","127.0.0.1","TCP","148","0.000231000","59078  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440306958 TSecr=1440306958"
"537","0.000236","127.0.0.1","127.0.0.1","TCP","151","0.000057000","59079  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440306958 TSecr=1440306958"
"547","0.000234","127.0.0.1","127.0.0.1","TCP","145","0.000045000","59080  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440306959 TSecr=1440306959"
"557","0.000180","127.0.0.1","127.0.0.1","TCP","151","0.000042000","59081  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440306959 TSecr=1440306959"
"567","0.000224","127.0.0.1","127.0.0.1","TCP","160","0.000063000","59082  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440306959 TSecr=1440306959"
