"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Info"
"28","0.000000","127.0.0.1","127.0.0.1","TCP","139","0.000084000","56903  >  9080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=83 TSval=1426607499 TSecr=1426607499"
"38","0.000350","127.0.0.1","127.0.0.1","TCP","138","0.000065000","56905  >  9081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=82 TSval=1426607500 TSecr=1426607500"
"56","2.188663","127.0.0.1","127.0.0.1","TCP","139","0.000069000","56911  >  9080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=83 TSval=1426609677 TSecr=1426609677"
"66","0.000267","127.0.0.1","127.0.0.1","TCP","140","0.000042000","56912  >  9081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=84 TSval=1426609678 TSecr=1426609678"
"78","0.000236","127.0.0.1","127.0.0.1","TCP","138","0.000111000","56913  >  9081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=82 TSval=1426609678 TSecr=1426609678"
"92","0.000810","127.0.0.1","127.0.0.1","TCP","139","0.000539000","56915  >  9080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=83 TSval=1426609679 TSecr=1426609678"
"94","0.000104","127.0.0.1","127.0.0.1","TCP","138","0.000169000","56917  >  9082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=82 TSval=1426609679 TSecr=1426609679"
"108","0.000490","127.0.0.1","127.0.0.1","TCP","137","0.000183000","56918  >  9082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=81 TSval=1426609679 TSecr=1426609679"
"141","9.504653","127.0.0.1","127.0.0.1","TCP","145","0.000392000","56923  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426619132 TSecr=1426619132"
"149","0.000374","127.0.0.1","127.0.0.1","TCP","145","0.000072000","56924  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426619133 TSecr=1426619132"
"158","0.000461","127.0.0.1","127.0.0.1","TCP","144","0.000104000","56925  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426619133 TSecr=1426619133 [TCP segment of a reassembled PDU]"
"169","0.000264","127.0.0.1","127.0.0.1","TCP","145","0.000199000","56926  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426619133 TSecr=1426619133 [TCP segment of a reassembled PDU]"
"179","0.000264","127.0.0.1","127.0.0.1","TCP","144","0.000348000","56927  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426619133 TSecr=1426619133"
"183","0.000083","127.0.0.1","127.0.0.1","TCP","145","0.000174000","56928  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426619134 TSecr=1426619133"
"200","10.907571","127.0.0.1","127.0.0.1","TCP","145","0.000085000","56929  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629998 TSecr=1426629998"
"210","0.000225","127.0.0.1","127.0.0.1","TCP","145","0.000034000","56930  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629998 TSecr=1426629998"
"220","0.000180","127.0.0.1","127.0.0.1","TCP","145","0.000041000","56931  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629998 TSecr=1426629998"
"231","0.000125","127.0.0.1","127.0.0.1","TCP","144","0.000026000","56932  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426629998 TSecr=1426629998 [TCP segment of a reassembled PDU]"
"244","0.000161","127.0.0.1","127.0.0.1","TCP","145","0.000117000","56933  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629999 TSecr=1426629998"
"250","0.000041","127.0.0.1","127.0.0.1","TCP","145","0.000032000","56934  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629999 TSecr=1426629999 [TCP segment of a reassembled PDU]"
"264","0.000311","127.0.0.1","127.0.0.1","TCP","144","0.000148000","56935  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426629999 TSecr=1426629999"
"272","0.000157","127.0.0.1","127.0.0.1","TCP","144","0.000270000","56936  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426629999 TSecr=1426629999 [TCP segment of a reassembled PDU]"
"282","0.000213","127.0.0.1","127.0.0.1","TCP","145","0.000213000","56937  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426629999 TSecr=1426629999"
"286","0.000046","127.0.0.1","127.0.0.1","TCP","144","0.000104000","56938  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426629999 TSecr=1426629999"
"300","0.000469","127.0.0.1","127.0.0.1","TCP","144","0.000105000","56939  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426630000 TSecr=1426630000 [TCP segment of a reassembled PDU]"
"310","0.000305","127.0.0.1","127.0.0.1","TCP","144","0.000062000","56940  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426630000 TSecr=1426630000"
"320","12.739031","127.0.0.1","127.0.0.1","TCP","144","0.000108000","56942  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642689 TSecr=1426642689 [TCP segment of a reassembled PDU]"
"330","0.000188","127.0.0.1","127.0.0.1","TCP","144","0.000049000","56943  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642689 TSecr=1426642689 [TCP segment of a reassembled PDU]"
"341","0.000286","127.0.0.1","127.0.0.1","TCP","144","0.000092000","56944  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642689 TSecr=1426642689"
"354","0.000188","127.0.0.1","127.0.0.1","TCP","145","0.000127000","56945  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426642690 TSecr=1426642689"
"355","0.000009","127.0.0.1","127.0.0.1","TCP","144","0.000048000","56946  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642690 TSecr=1426642690"
"376","0.000520","127.0.0.1","127.0.0.1","TCP","145","0.000365000","56947  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426642690 TSecr=1426642690"
"380","0.000035","127.0.0.1","127.0.0.1","TCP","144","0.000082000","56948  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642690 TSecr=1426642690 [TCP segment of a reassembled PDU]"
"392","0.000248","127.0.0.1","127.0.0.1","TCP","143","0.000056000","56949  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426642690 TSecr=1426642690"
"396","0.000051","127.0.0.1","127.0.0.1","TCP","144","0.000103000","56950  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642690 TSecr=1426642690 [TCP segment of a reassembled PDU]"
"410","0.000287","127.0.0.1","127.0.0.1","TCP","144","0.000083000","56951  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642691 TSecr=1426642691"
"415","0.000107","127.0.0.1","127.0.0.1","TCP","145","0.000186000","56952  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426642691 TSecr=1426642691"
"430","0.000350","127.0.0.1","127.0.0.1","TCP","144","0.000278000","56953  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642691 TSecr=1426642691"
"434","0.000039","127.0.0.1","127.0.0.1","TCP","145","0.000227000","56954  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426642691 TSecr=1426642691"
"448","0.000437","127.0.0.1","127.0.0.1","TCP","143","0.000221000","56955  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426642692 TSecr=1426642691"
"462","0.000493","127.0.0.1","127.0.0.1","TCP","144","0.000173000","56956  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642692 TSecr=1426642692 [TCP segment of a reassembled PDU]"
"470","0.000204","127.0.0.1","127.0.0.1","TCP","144","0.000044000","56957  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426642692 TSecr=1426642692"
"480","6.124569","127.0.0.1","127.0.0.1","TCP","144","0.000088000","56958  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648792 TSecr=1426648792 [TCP segment of a reassembled PDU]"
"489","0.000183","127.0.0.1","127.0.0.1","TCP","144","0.000048000","56959  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648792 TSecr=1426648792 [TCP segment of a reassembled PDU]"
"500","0.000194","127.0.0.1","127.0.0.1","TCP","142","0.000028000","56960  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426648792 TSecr=1426648792 [TCP segment of a reassembled PDU]"
"510","0.000166","127.0.0.1","127.0.0.1","TCP","144","0.000034000","56961  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648792 TSecr=1426648792"
"521","0.000120","127.0.0.1","127.0.0.1","TCP","145","0.000008000","56962  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648793 TSecr=1426648793"
"534","0.000155","127.0.0.1","127.0.0.1","TCP","144","0.000116000","56963  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648793 TSecr=1426648793"
"540","0.000044","127.0.0.1","127.0.0.1","TCP","145","0.000014000","56964  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648793 TSecr=1426648793"
"550","0.000229","127.0.0.1","127.0.0.1","TCP","143","0.000046000","56965  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426648793 TSecr=1426648793"
"566","0.000347","127.0.0.1","127.0.0.1","TCP","142","0.000167000","56967  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426648793 TSecr=1426648793"
"567","0.000001","127.0.0.1","127.0.0.1","TCP","142","0.000258000","56966  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426648793 TSecr=1426648793"
"584","0.000360","127.0.0.1","127.0.0.1","TCP","145","0.000149000","56968  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648794 TSecr=1426648794"
"585","0.000001","127.0.0.1","127.0.0.1","TCP","144","0.000050000","56969  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648794 TSecr=1426648794 [TCP segment of a reassembled PDU]"
"600","0.000278","127.0.0.1","127.0.0.1","TCP","141","0.000055000","56970  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426648794 TSecr=1426648794 [TCP segment of a reassembled PDU]"
"601","0.000004","127.0.0.1","127.0.0.1","TCP","145","0.000055000","56971  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648794 TSecr=1426648794"
"616","0.000231","127.0.0.1","127.0.0.1","TCP","144","0.000039000","56972  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426648794 TSecr=1426648794"
"619","0.000018","127.0.0.1","127.0.0.1","TCP","143","0.000052000","56973  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426648794 TSecr=1426648794"
"632","0.000199","127.0.0.1","127.0.0.1","TCP","141","0.000050000","56974  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426648794 TSecr=1426648794"
"643","0.000301","127.0.0.1","127.0.0.1","TCP","142","0.000347000","56975  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426648795 TSecr=1426648794"
"660","0.000740","127.0.0.1","127.0.0.1","TCP","145","0.000069000","56976  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648795 TSecr=1426648795"
"670","0.000244","127.0.0.1","127.0.0.1","TCP","145","0.000052000","56977  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648796 TSecr=1426648796"
"680","0.000263","127.0.0.1","127.0.0.1","TCP","143","0.000049000","56978  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426648796 TSecr=1426648796"
"690","0.000274","127.0.0.1","127.0.0.1","TCP","145","0.000060000","56979  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648796 TSecr=1426648796"
"700","0.000227","127.0.0.1","127.0.0.1","TCP","145","0.000048000","56980  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426648796 TSecr=1426648796"
"710","0.000259","127.0.0.1","127.0.0.1","TCP","143","0.000052000","56981  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426648797 TSecr=1426648797"
"720","5.899071","127.0.0.1","127.0.0.1","TCP","144","0.000074000","56982  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654670 TSecr=1426654670 [TCP segment of a reassembled PDU]"
"730","0.000216","127.0.0.1","127.0.0.1","TCP","141","0.000041000","56983  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426654670 TSecr=1426654670 [TCP segment of a reassembled PDU]"
"740","0.000196","127.0.0.1","127.0.0.1","TCP","144","0.000043000","56984  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654671 TSecr=1426654670 [TCP segment of a reassembled PDU]"
"751","0.000250","127.0.0.1","127.0.0.1","TCP","144","0.000051000","56985  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654671 TSecr=1426654671"
"764","0.000320","127.0.0.1","127.0.0.1","TCP","141","0.000169000","56987  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426654671 TSecr=1426654671"
"769","0.000110","127.0.0.1","127.0.0.1","TCP","145","0.000372000","56986  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426654671 TSecr=1426654671"
"782","0.000233","127.0.0.1","127.0.0.1","TCP","144","0.000158000","56988  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654671 TSecr=1426654671"
"788","0.000162","127.0.0.1","127.0.0.1","TCP","145","0.000276000","56989  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426654672 TSecr=1426654671"
